,item,score,user,rank,Algorithm
0,66947,23.0,382071,1,popular
1,176535,23.0,382071,2,popular
2,170262,22.0,382071,3,popular
3,172700,20.0,382071,4,popular
4,60506,19.0,382071,5,popular
5,232918,18.0,382071,6,popular
6,110156,17.0,382071,7,popular
7,167763,16.0,382071,8,popular
8,269750,16.0,382071,9,popular
9,64915,15.0,382071,10,popular
10,264072,15.0,382071,11,popular
11,59043,14.0,382071,12,popular
12,59148,14.0,382071,13,popular
13,62275,14.0,382071,14,popular
14,162998,14.0,382071,15,popular
15,166284,14.0,382071,16,popular
16,250764,14.0,382071,17,popular
17,166675,13.0,382071,18,popular
18,171867,13.0,382071,19,popular
19,173567,13.0,382071,20,popular
20,178156,13.0,382071,21,popular
21,215229,13.0,382071,22,popular
22,229164,13.0,382071,23,popular
23,240135,13.0,382071,24,popular
24,249052,13.0,382071,25,popular
25,280658,13.0,382071,26,popular
26,123820,12.0,382071,27,popular
27,184631,12.0,382071,28,popular
28,250163,12.0,382071,29,popular
29,272173,12.0,382071,30,popular
30,277907,12.0,382071,31,popular
31,307684,12.0,382071,32,popular
32,423600,12.0,382071,33,popular
33,15420,11.0,382071,34,popular
34,18458,11.0,382071,35,popular
35,29570,11.0,382071,36,popular
36,116195,11.0,382071,37,popular
37,155047,11.0,382071,38,popular
38,163484,11.0,382071,39,popular
39,163971,11.0,382071,40,popular
40,178002,11.0,382071,41,popular
41,213195,11.0,382071,42,popular
42,217536,11.0,382071,43,popular
43,228520,11.0,382071,44,popular
44,250284,11.0,382071,45,popular
45,284323,11.0,382071,46,popular
46,370031,11.0,382071,47,popular
47,88364,10.0,382071,48,popular
48,98221,10.0,382071,49,popular
49,171865,10.0,382071,50,popular
50,66947,23.0,431813,1,popular
51,176535,23.0,431813,2,popular
52,170262,22.0,431813,3,popular
53,172700,20.0,431813,4,popular
54,60506,19.0,431813,5,popular
55,232918,18.0,431813,6,popular
56,110156,17.0,431813,7,popular
57,269750,16.0,431813,8,popular
58,64915,15.0,431813,9,popular
59,264072,15.0,431813,10,popular
60,59043,14.0,431813,11,popular
61,59148,14.0,431813,12,popular
62,62275,14.0,431813,13,popular
63,162998,14.0,431813,14,popular
64,166284,14.0,431813,15,popular
65,250764,14.0,431813,16,popular
66,166675,13.0,431813,17,popular
67,171867,13.0,431813,18,popular
68,173567,13.0,431813,19,popular
69,178156,13.0,431813,20,popular
70,213057,13.0,431813,21,popular
71,215229,13.0,431813,22,popular
72,229164,13.0,431813,23,popular
73,249052,13.0,431813,24,popular
74,280658,13.0,431813,25,popular
75,123820,12.0,431813,26,popular
76,176671,12.0,431813,27,popular
77,184631,12.0,431813,28,popular
78,250163,12.0,431813,29,popular
79,250822,12.0,431813,30,popular
80,272173,12.0,431813,31,popular
81,277907,12.0,431813,32,popular
82,423600,12.0,431813,33,popular
83,15420,11.0,431813,34,popular
84,18458,11.0,431813,35,popular
85,29570,11.0,431813,36,popular
86,116195,11.0,431813,37,popular
87,155047,11.0,431813,38,popular
88,163484,11.0,431813,39,popular
89,163971,11.0,431813,40,popular
90,178002,11.0,431813,41,popular
91,213195,11.0,431813,42,popular
92,217536,11.0,431813,43,popular
93,228520,11.0,431813,44,popular
94,250673,11.0,431813,45,popular
95,284323,11.0,431813,46,popular
96,370031,11.0,431813,47,popular
97,88364,10.0,431813,48,popular
98,98221,10.0,431813,49,popular
99,171865,10.0,431813,50,popular
100,66947,23.0,599450,1,popular
101,176535,23.0,599450,2,popular
102,170262,22.0,599450,3,popular
103,172700,20.0,599450,4,popular
104,60506,19.0,599450,5,popular
105,199299,18.0,599450,6,popular
106,232918,18.0,599450,7,popular
107,110156,17.0,599450,8,popular
108,167763,16.0,599450,9,popular
109,269750,16.0,599450,10,popular
110,284512,16.0,599450,11,popular
111,64915,15.0,599450,12,popular
112,264072,15.0,599450,13,popular
113,59043,14.0,599450,14,popular
114,59148,14.0,599450,15,popular
115,62275,14.0,599450,16,popular
116,162998,14.0,599450,17,popular
117,166284,14.0,599450,18,popular
118,250764,14.0,599450,19,popular
119,166675,13.0,599450,20,popular
120,171867,13.0,599450,21,popular
121,173567,13.0,599450,22,popular
122,178156,13.0,599450,23,popular
123,213057,13.0,599450,24,popular
124,215229,13.0,599450,25,popular
125,229164,13.0,599450,26,popular
126,240135,13.0,599450,27,popular
127,249052,13.0,599450,28,popular
128,280658,13.0,599450,29,popular
129,123820,12.0,599450,30,popular
130,176671,12.0,599450,31,popular
131,184631,12.0,599450,32,popular
132,212632,12.0,599450,33,popular
133,250163,12.0,599450,34,popular
134,250822,12.0,599450,35,popular
135,272173,12.0,599450,36,popular
136,277907,12.0,599450,37,popular
137,307684,12.0,599450,38,popular
138,423600,12.0,599450,39,popular
139,15420,11.0,599450,40,popular
140,18458,11.0,599450,41,popular
141,29570,11.0,599450,42,popular
142,116195,11.0,599450,43,popular
143,155047,11.0,599450,44,popular
144,163484,11.0,599450,45,popular
145,163971,11.0,599450,46,popular
146,178002,11.0,599450,47,popular
147,213195,11.0,599450,48,popular
148,217536,11.0,599450,49,popular
149,250284,11.0,599450,50,popular
150,66947,23.0,8688,1,popular
151,176535,23.0,8688,2,popular
152,170262,22.0,8688,3,popular
153,60506,19.0,8688,4,popular
154,199299,18.0,8688,5,popular
155,232918,18.0,8688,6,popular
156,110156,17.0,8688,7,popular
157,167763,16.0,8688,8,popular
158,269750,16.0,8688,9,popular
159,284512,16.0,8688,10,popular
160,64915,15.0,8688,11,popular
161,264072,15.0,8688,12,popular
162,59043,14.0,8688,13,popular
163,62275,14.0,8688,14,popular
164,162998,14.0,8688,15,popular
165,166284,14.0,8688,16,popular
166,250764,14.0,8688,17,popular
167,178156,13.0,8688,18,popular
168,213057,13.0,8688,19,popular
169,215229,13.0,8688,20,popular
170,229164,13.0,8688,21,popular
171,123820,12.0,8688,22,popular
172,184631,12.0,8688,23,popular
173,250163,12.0,8688,24,popular
174,272173,12.0,8688,25,popular
175,277907,12.0,8688,26,popular
176,307684,12.0,8688,27,popular
177,423600,12.0,8688,28,popular
178,18458,11.0,8688,29,popular
179,116195,11.0,8688,30,popular
180,163484,11.0,8688,31,popular
181,213195,11.0,8688,32,popular
182,217536,11.0,8688,33,popular
183,228520,11.0,8688,34,popular
184,250284,11.0,8688,35,popular
185,250673,11.0,8688,36,popular
186,284323,11.0,8688,37,popular
187,370031,11.0,8688,38,popular
188,88364,10.0,8688,39,popular
189,171865,10.0,8688,40,popular
190,197977,10.0,8688,41,popular
191,205571,10.0,8688,42,popular
192,211811,10.0,8688,43,popular
193,216034,10.0,8688,44,popular
194,243106,10.0,8688,45,popular
195,244344,10.0,8688,46,popular
196,265892,10.0,8688,47,popular
197,284368,10.0,8688,48,popular
198,293870,10.0,8688,49,popular
199,301808,10.0,8688,50,popular
200,66947,23.0,128473,1,popular
201,176535,23.0,128473,2,popular
202,172700,20.0,128473,3,popular
203,60506,19.0,128473,4,popular
204,199299,18.0,128473,5,popular
205,232918,18.0,128473,6,popular
206,110156,17.0,128473,7,popular
207,167763,16.0,128473,8,popular
208,284512,16.0,128473,9,popular
209,64915,15.0,128473,10,popular
210,264072,15.0,128473,11,popular
211,59043,14.0,128473,12,popular
212,59148,14.0,128473,13,popular
213,62275,14.0,128473,14,popular
214,162998,14.0,128473,15,popular
215,166284,14.0,128473,16,popular
216,250764,14.0,128473,17,popular
217,171867,13.0,128473,18,popular
218,173567,13.0,128473,19,popular
219,178156,13.0,128473,20,popular
220,213057,13.0,128473,21,popular
221,229164,13.0,128473,22,popular
222,240135,13.0,128473,23,popular
223,249052,13.0,128473,24,popular
224,280658,13.0,128473,25,popular
225,123820,12.0,128473,26,popular
226,176671,12.0,128473,27,popular
227,184631,12.0,128473,28,popular
228,212632,12.0,128473,29,popular
229,250822,12.0,128473,30,popular
230,272173,12.0,128473,31,popular
231,277907,12.0,128473,32,popular
232,307684,12.0,128473,33,popular
233,423600,12.0,128473,34,popular
234,15420,11.0,128473,35,popular
235,18458,11.0,128473,36,popular
236,29570,11.0,128473,37,popular
237,116195,11.0,128473,38,popular
238,155047,11.0,128473,39,popular
239,163484,11.0,128473,40,popular
240,163971,11.0,128473,41,popular
241,178002,11.0,128473,42,popular
242,213195,11.0,128473,43,popular
243,217536,11.0,128473,44,popular
244,228520,11.0,128473,45,popular
245,250284,11.0,128473,46,popular
246,250673,11.0,128473,47,popular
247,284323,11.0,128473,48,popular
248,370031,11.0,128473,49,popular
249,88364,10.0,128473,50,popular
250,66947,23.0,226863,1,popular
251,170262,22.0,226863,2,popular
252,172700,20.0,226863,3,popular
253,60506,19.0,226863,4,popular
254,199299,18.0,226863,5,popular
255,232918,18.0,226863,6,popular
256,110156,17.0,226863,7,popular
257,167763,16.0,226863,8,popular
258,284512,16.0,226863,9,popular
259,64915,15.0,226863,10,popular
260,59043,14.0,226863,11,popular
261,59148,14.0,226863,12,popular
262,62275,14.0,226863,13,popular
263,162998,14.0,226863,14,popular
264,166284,14.0,226863,15,popular
265,250764,14.0,226863,16,popular
266,166675,13.0,226863,17,popular
267,171867,13.0,226863,18,popular
268,173567,13.0,226863,19,popular
269,178156,13.0,226863,20,popular
270,213057,13.0,226863,21,popular
271,215229,13.0,226863,22,popular
272,229164,13.0,226863,23,popular
273,123820,12.0,226863,24,popular
274,176671,12.0,226863,25,popular
275,212632,12.0,226863,26,popular
276,250163,12.0,226863,27,popular
277,250822,12.0,226863,28,popular
278,272173,12.0,226863,29,popular
279,307684,12.0,226863,30,popular
280,423600,12.0,226863,31,popular
281,15420,11.0,226863,32,popular
282,18458,11.0,226863,33,popular
283,29570,11.0,226863,34,popular
284,116195,11.0,226863,35,popular
285,155047,11.0,226863,36,popular
286,163484,11.0,226863,37,popular
287,163971,11.0,226863,38,popular
288,178002,11.0,226863,39,popular
289,213195,11.0,226863,40,popular
290,217536,11.0,226863,41,popular
291,228520,11.0,226863,42,popular
292,250284,11.0,226863,43,popular
293,250673,11.0,226863,44,popular
294,370031,11.0,226863,45,popular
295,88364,10.0,226863,46,popular
296,98221,10.0,226863,47,popular
297,171865,10.0,226863,48,popular
298,174274,10.0,226863,49,popular
299,205571,10.0,226863,50,popular
300,66947,23.0,88099,1,popular
301,176535,23.0,88099,2,popular
302,172700,20.0,88099,3,popular
303,60506,19.0,88099,4,popular
304,232918,18.0,88099,5,popular
305,110156,17.0,88099,6,popular
306,269750,16.0,88099,7,popular
307,284512,16.0,88099,8,popular
308,64915,15.0,88099,9,popular
309,59043,14.0,88099,10,popular
310,59148,14.0,88099,11,popular
311,62275,14.0,88099,12,popular
312,166675,13.0,88099,13,popular
313,171867,13.0,88099,14,popular
314,173567,13.0,88099,15,popular
315,213057,13.0,88099,16,popular
316,229164,13.0,88099,17,popular
317,240135,13.0,88099,18,popular
318,280658,13.0,88099,19,popular
319,176671,12.0,88099,20,popular
320,184631,12.0,88099,21,popular
321,212632,12.0,88099,22,popular
322,250163,12.0,88099,23,popular
323,250822,12.0,88099,24,popular
324,272173,12.0,88099,25,popular
325,15420,11.0,88099,26,popular
326,18458,11.0,88099,27,popular
327,29570,11.0,88099,28,popular
328,116195,11.0,88099,29,popular
329,155047,11.0,88099,30,popular
330,163971,11.0,88099,31,popular
331,217536,11.0,88099,32,popular
332,250284,11.0,88099,33,popular
333,250673,11.0,88099,34,popular
334,284323,11.0,88099,35,popular
335,370031,11.0,88099,36,popular
336,88364,10.0,88099,37,popular
337,98221,10.0,88099,38,popular
338,171865,10.0,88099,39,popular
339,174274,10.0,88099,40,popular
340,197977,10.0,88099,41,popular
341,205571,10.0,88099,42,popular
342,214514,10.0,88099,43,popular
343,216034,10.0,88099,44,popular
344,220304,10.0,88099,45,popular
345,231025,10.0,88099,46,popular
346,243106,10.0,88099,47,popular
347,244344,10.0,88099,48,popular
348,265892,10.0,88099,49,popular
349,284368,10.0,88099,50,popular
350,176535,23.0,222564,1,popular
351,170262,22.0,222564,2,popular
352,60506,19.0,222564,3,popular
353,199299,18.0,222564,4,popular
354,232918,18.0,222564,5,popular
355,110156,17.0,222564,6,popular
356,269750,16.0,222564,7,popular
357,284512,16.0,222564,8,popular
358,64915,15.0,222564,9,popular
359,264072,15.0,222564,10,popular
360,59148,14.0,222564,11,popular
361,162998,14.0,222564,12,popular
362,166284,14.0,222564,13,popular
363,250764,14.0,222564,14,popular
364,166675,13.0,222564,15,popular
365,171867,13.0,222564,16,popular
366,173567,13.0,222564,17,popular
367,178156,13.0,222564,18,popular
368,213057,13.0,222564,19,popular
369,215229,13.0,222564,20,popular
370,229164,13.0,222564,21,popular
371,240135,13.0,222564,22,popular
372,249052,13.0,222564,23,popular
373,280658,13.0,222564,24,popular
374,176671,12.0,222564,25,popular
375,184631,12.0,222564,26,popular
376,212632,12.0,222564,27,popular
377,250163,12.0,222564,28,popular
378,272173,12.0,222564,29,popular
379,277907,12.0,222564,30,popular
380,307684,12.0,222564,31,popular
381,423600,12.0,222564,32,popular
382,15420,11.0,222564,33,popular
383,18458,11.0,222564,34,popular
384,29570,11.0,222564,35,popular
385,116195,11.0,222564,36,popular
386,155047,11.0,222564,37,popular
387,163484,11.0,222564,38,popular
388,163971,11.0,222564,39,popular
389,178002,11.0,222564,40,popular
390,213195,11.0,222564,41,popular
391,217536,11.0,222564,42,popular
392,228520,11.0,222564,43,popular
393,250284,11.0,222564,44,popular
394,250673,11.0,222564,45,popular
395,284323,11.0,222564,46,popular
396,370031,11.0,222564,47,popular
397,98221,10.0,222564,48,popular
398,171865,10.0,222564,49,popular
399,174274,10.0,222564,50,popular
400,66947,23.0,58104,1,popular
401,176535,23.0,58104,2,popular
402,60506,19.0,58104,3,popular
403,199299,18.0,58104,4,popular
404,110156,17.0,58104,5,popular
405,269750,16.0,58104,6,popular
406,284512,16.0,58104,7,popular
407,264072,15.0,58104,8,popular
408,59043,14.0,58104,9,popular
409,59148,14.0,58104,10,popular
410,166284,14.0,58104,11,popular
411,250764,14.0,58104,12,popular
412,171867,13.0,58104,13,popular
413,173567,13.0,58104,14,popular
414,178156,13.0,58104,15,popular
415,213057,13.0,58104,16,popular
416,240135,13.0,58104,17,popular
417,249052,13.0,58104,18,popular
418,280658,13.0,58104,19,popular
419,184631,12.0,58104,20,popular
420,250163,12.0,58104,21,popular
421,250822,12.0,58104,22,popular
422,272173,12.0,58104,23,popular
423,277907,12.0,58104,24,popular
424,307684,12.0,58104,25,popular
425,423600,12.0,58104,26,popular
426,15420,11.0,58104,27,popular
427,18458,11.0,58104,28,popular
428,29570,11.0,58104,29,popular
429,155047,11.0,58104,30,popular
430,163484,11.0,58104,31,popular
431,163971,11.0,58104,32,popular
432,178002,11.0,58104,33,popular
433,213195,11.0,58104,34,popular
434,217536,11.0,58104,35,popular
435,228520,11.0,58104,36,popular
436,250284,11.0,58104,37,popular
437,250673,11.0,58104,38,popular
438,284323,11.0,58104,39,popular
439,370031,11.0,58104,40,popular
440,88364,10.0,58104,41,popular
441,98221,10.0,58104,42,popular
442,171865,10.0,58104,43,popular
443,174274,10.0,58104,44,popular
444,205571,10.0,58104,45,popular
445,211811,10.0,58104,46,popular
446,214514,10.0,58104,47,popular
447,216034,10.0,58104,48,popular
448,220304,10.0,58104,49,popular
449,231025,10.0,58104,50,popular
450,66947,23.0,496803,1,popular
451,176535,23.0,496803,2,popular
452,170262,22.0,496803,3,popular
453,172700,20.0,496803,4,popular
454,60506,19.0,496803,5,popular
455,199299,18.0,496803,6,popular
456,232918,18.0,496803,7,popular
457,110156,17.0,496803,8,popular
458,167763,16.0,496803,9,popular
459,269750,16.0,496803,10,popular
460,284512,16.0,496803,11,popular
461,64915,15.0,496803,12,popular
462,264072,15.0,496803,13,popular
463,59043,14.0,496803,14,popular
464,59148,14.0,496803,15,popular
465,62275,14.0,496803,16,popular
466,162998,14.0,496803,17,popular
467,166284,14.0,496803,18,popular
468,250764,14.0,496803,19,popular
469,166675,13.0,496803,20,popular
470,171867,13.0,496803,21,popular
471,173567,13.0,496803,22,popular
472,178156,13.0,496803,23,popular
473,213057,13.0,496803,24,popular
474,215229,13.0,496803,25,popular
475,229164,13.0,496803,26,popular
476,240135,13.0,496803,27,popular
477,249052,13.0,496803,28,popular
478,280658,13.0,496803,29,popular
479,123820,12.0,496803,30,popular
480,176671,12.0,496803,31,popular
481,184631,12.0,496803,32,popular
482,212632,12.0,496803,33,popular
483,250163,12.0,496803,34,popular
484,250822,12.0,496803,35,popular
485,272173,12.0,496803,36,popular
486,277907,12.0,496803,37,popular
487,307684,12.0,496803,38,popular
488,423600,12.0,496803,39,popular
489,15420,11.0,496803,40,popular
490,18458,11.0,496803,41,popular
491,29570,11.0,496803,42,popular
492,116195,11.0,496803,43,popular
493,155047,11.0,496803,44,popular
494,163484,11.0,496803,45,popular
495,163971,11.0,496803,46,popular
496,178002,11.0,496803,47,popular
497,213195,11.0,496803,48,popular
498,217536,11.0,496803,49,popular
499,228520,11.0,496803,50,popular
500,176535,23.0,61660,1,popular
501,232918,18.0,61660,2,popular
502,110156,17.0,61660,3,popular
503,167763,16.0,61660,4,popular
504,64915,15.0,61660,5,popular
505,59043,14.0,61660,6,popular
506,59148,14.0,61660,7,popular
507,62275,14.0,61660,8,popular
508,250764,14.0,61660,9,popular
509,166675,13.0,61660,10,popular
510,171867,13.0,61660,11,popular
511,178156,13.0,61660,12,popular
512,215229,13.0,61660,13,popular
513,229164,13.0,61660,14,popular
514,240135,13.0,61660,15,popular
515,249052,13.0,61660,16,popular
516,123820,12.0,61660,17,popular
517,176671,12.0,61660,18,popular
518,272173,12.0,61660,19,popular
519,277907,12.0,61660,20,popular
520,307684,12.0,61660,21,popular
521,15420,11.0,61660,22,popular
522,18458,11.0,61660,23,popular
523,29570,11.0,61660,24,popular
524,116195,11.0,61660,25,popular
525,163971,11.0,61660,26,popular
526,178002,11.0,61660,27,popular
527,250284,11.0,61660,28,popular
528,250673,11.0,61660,29,popular
529,284323,11.0,61660,30,popular
530,370031,11.0,61660,31,popular
531,88364,10.0,61660,32,popular
532,98221,10.0,61660,33,popular
533,171865,10.0,61660,34,popular
534,205571,10.0,61660,35,popular
535,211811,10.0,61660,36,popular
536,214514,10.0,61660,37,popular
537,220304,10.0,61660,38,popular
538,231025,10.0,61660,39,popular
539,265892,10.0,61660,40,popular
540,284368,10.0,61660,41,popular
541,293870,10.0,61660,42,popular
542,301808,10.0,61660,43,popular
543,76546,9.0,61660,44,popular
544,114029,9.0,61660,45,popular
545,115415,9.0,61660,46,popular
546,128304,9.0,61660,47,popular
547,130078,9.0,61660,48,popular
548,155731,9.0,61660,49,popular
549,171513,9.0,61660,50,popular
550,66947,23.0,130663,1,popular
551,176535,23.0,130663,2,popular
552,170262,22.0,130663,3,popular
553,172700,20.0,130663,4,popular
554,60506,19.0,130663,5,popular
555,199299,18.0,130663,6,popular
556,232918,18.0,130663,7,popular
557,110156,17.0,130663,8,popular
558,167763,16.0,130663,9,popular
559,269750,16.0,130663,10,popular
560,284512,16.0,130663,11,popular
561,64915,15.0,130663,12,popular
562,264072,15.0,130663,13,popular
563,59148,14.0,130663,14,popular
564,62275,14.0,130663,15,popular
565,162998,14.0,130663,16,popular
566,166284,14.0,130663,17,popular
567,250764,14.0,130663,18,popular
568,166675,13.0,130663,19,popular
569,171867,13.0,130663,20,popular
570,178156,13.0,130663,21,popular
571,213057,13.0,130663,22,popular
572,215229,13.0,130663,23,popular
573,229164,13.0,130663,24,popular
574,240135,13.0,130663,25,popular
575,249052,13.0,130663,26,popular
