,item,n_steps
102,45859,3
264,175306,6
272,423875,2
295,251021,3
304,429524,4
317,124853,2
351,285606,2
416,136231,7
509,335495,5
570,201813,3
589,280251,2
590,242761,2
614,261888,3
705,79736,6
720,100837,4
735,249911,4
912,235003,4
992,224908,7
995,262448,1
1090,289160,9
1096,290008,2
1129,262501,3
1141,297466,1
1383,266704,6
1410,280875,2
1463,404871,8
1495,321420,2
1496,406071,7
1512,30212,9
1513,176415,3
1621,262686,3
1675,255840,4
1676,284848,1
1792,251279,2
1811,286468,1
1828,309674,3
1830,49504,4
1852,254489,2
1885,422484,3
1899,259452,5
1929,15514,3
1942,15719,3
1943,85476,6
1971,109007,3
1972,15715,1
1991,15764,3
2034,429764,12
2173,245851,4
2254,413505,3
2275,169350,3
2276,251276,3
2277,169648,4
2278,240397,3
2279,184628,2
2280,183578,2
2281,225076,2
2282,261358,2
2283,251020,4
2294,243155,7
2296,383260,3
2309,14429,2
2324,315660,4
2344,14434,2
2362,352833,2
2396,8827,1
2397,235161,3
2407,181386,6
2422,523276,3
2524,168085,5
2572,252680,2
2616,206136,2
2617,300355,5
2619,309161,1
2623,268065,5
2624,368852,2
2625,194687,4
2627,281241,1
2628,170594,5
2629,194689,4
2630,351371,1
2636,229362,4
2637,351422,10
2682,172729,2
2709,220202,2
2740,292695,2
2741,309952,2
2746,173567,2
2748,430263,3
2804,261374,1
2807,322039,9
2808,216271,3
2812,303712,1
2813,339553,2
2828,242350,5
2834,284859,3
2835,240135,3
2840,287518,1
2847,485158,1
2853,366921,3
2855,482806,17
2857,369080,4
2884,238464,1
2893,483578,6
2894,225953,4
2917,279155,2
3110,315595,6
3111,276396,1
3112,316670,2
3113,8842,2
3141,235399,4
3142,277332,9
3145,239270,4
3245,335816,2
3277,250787,5
3490,348114,3
3496,429260,4
3498,423045,4
3500,60665,2
3503,16160,3
3505,383147,5
3520,391825,3
3654,264808,2
3659,373804,1
3679,175747,1
3776,280658,2
3792,57885,5
3800,290930,2
3801,284868,1
3806,262499,1
3964,371425,3
4132,354084,3
4150,165452,2
4224,73631,6
4225,304018,2
4251,164903,3
4300,477085,9
4359,249855,1
4364,220201,2
4407,202716,6
4410,94363,5
4411,180696,5
4413,423848,2
4415,292860,1
4447,256689,3
4455,162998,3
4461,406792,1
4474,318805,2
4476,227943,10
4485,55053,1
4486,403920,5
4490,292681,2
4492,17793,3
4496,118200,4
4497,163484,2
4499,54447,5
4502,16677,1
4505,292679,2
4507,292678,3
4516,294327,2
4517,217549,2
4519,285133,1
4520,455734,5
4521,327437,3
4522,205566,3
4524,217536,2
4526,456752,2
4528,220556,6
4530,179482,3
4531,318437,4
4533,184658,2
4534,185230,1
4535,220198,2
4536,217541,3
4537,304905,3
4539,220199,2
4540,322556,4
4541,305058,2
4789,351729,9
4850,244809,2
4852,297570,1
5058,427188,2
5141,258872,2
5147,369785,2
5238,483087,3
5291,117582,4
5342,359515,2
5457,276285,11
5476,275046,1
5480,286697,1
5497,70551,7
5504,517983,3
5607,291366,2
5684,361431,2
5696,64153,5
5701,417837,7
5850,391853,1
5995,530752,8
6006,66402,3
6009,293254,3
6079,355063,3
6262,367080,3
6283,98410,8
6285,356404,4
6380,279527,2
6500,490291,2
6520,192597,3
6589,382871,2
6599,221153,2
6600,264075,2
6752,427204,5
6784,150561,5
6786,187628,3
6898,67415,2
6899,145893,4
7044,202658,9
7049,319373,4
7079,474631,6
7094,29781,9
7102,382538,3
7103,281565,5
7104,476461,7
7121,116924,4
7124,220262,4
7130,257335,2
7293,467558,5
7390,356522,10
7684,37175,4
7696,291850,3
7698,372831,1
7724,307305,4
7726,266523,2
7740,320131,3
7746,331231,4
7915,61105,1
7924,272173,8
8004,456250,5
8009,30787,4
8013,69309,6
8014,239445,5
8147,101353,5
8233,96226,3
8240,250075,3
8253,135777,7
8320,101464,3
