,user,item,date,rating
0,296027,182985,2007-05-19,4
1,452940,367080,2009-07-10,4
2,162826,367080,2009-10-04,5
3,303545,259553,2009-11-01,5
4,538524,280085,2008-04-12,5
5,276837,56516,2005-12-24,2
6,33159,56516,2006-12-26,4
7,135470,61912,2008-11-17,4
8,227978,61912,2010-09-21,0
9,509357,473508,2014-05-26,5
10,2001409066,143278,2017-04-15,0
11,226863,429550,2010-06-26,5
12,280271,429550,2010-08-25,3
13,569083,205275,2008-10-21,5
14,86318,67208,2004-09-05,5
15,1072593,293474,2010-10-25,5
16,1072593,202716,2009-12-02,5
17,201584,202716,2007-06-29,5
18,496803,202716,2009-01-09,5
19,383853,202716,2009-11-22,5
20,98467,202716,2010-04-27,5
21,853136,202716,2011-12-29,5
22,469903,317942,2008-08-23,5
23,144490,317942,2008-08-24,4
24,464080,317942,2008-10-03,5
25,1092347,317942,2009-07-06,5
26,711724,317942,2010-12-31,4
27,138429,98410,2004-12-14,5
28,245669,98410,2007-12-04,5
29,486032,98410,2009-11-29,5
30,49360,33145,2002-07-17,5
31,60221,33145,2003-05-27,5
32,340130,33145,2007-01-21,5
33,67026,432143,2012-01-01,5
34,383346,326426,2010-05-11,5
35,1072593,326426,2010-11-27,5
36,498271,306059,2008-06-08,5
37,162826,306059,2008-07-05,5
38,1630997,166948,2010-06-09,5
39,158308,166948,2010-09-24,5
40,56112,166948,2006-07-20,5
41,57695,166948,2007-04-29,5
42,383346,166948,2007-06-08,5
43,162826,166948,2007-06-09,5
44,357554,166948,2007-06-10,5
45,169430,166948,2007-06-15,5
46,142361,166948,2007-06-26,5
47,80353,166948,2007-06-27,5
48,327228,166948,2007-12-31,5
49,8688,166948,2008-01-07,5
50,350638,166948,2008-07-22,5
51,708553,166948,2008-10-24,5
52,91392,166948,2011-06-27,5
53,1957030,166948,2011-07-14,5
54,2256140,166948,2012-05-04,0
55,2123645,166948,2014-04-29,5
56,2394819,166948,2014-05-12,5
57,2001597665,166948,2017-06-24,5
58,231160,91061,2005-09-18,5
59,820414,277777,2008-09-09,5
60,1365025,277777,2012-10-23,5
61,2958060,277777,2013-08-24,5
62,2000499746,277777,2015-09-26,5
63,2091024,277777,2016-10-09,5
64,2000526979,277777,2018-02-25,5
65,278160,32431,2005-12-28,0
66,17803,426066,2010-05-27,5
67,930100,426066,2010-06-28,5
68,1072593,426066,2010-12-31,5
69,431813,245510,2007-08-29,5
70,351811,245510,2007-09-05,5
71,8688,245510,2007-09-24,5
72,382071,245510,2007-10-29,5
73,324390,245510,2007-10-31,5
74,422893,245510,2008-03-25,5
75,58104,31591,2006-01-15,4
76,1019291,31591,2008-11-09,5
77,2123645,31591,2015-12-07,5
78,88099,369876,2009-06-27,5
79,135470,369876,2009-07-10,3
80,204024,369876,2009-07-11,5
81,58104,369876,2013-02-11,4
82,209747,226234,2008-11-01,4
83,222564,302262,2015-06-02,5
84,120647,203720,2007-02-01,5
85,196198,203720,2011-12-10,5
86,298801,157526,2006-03-26,5
87,139541,157526,2006-08-01,5
88,497077,157526,2008-10-19,5
89,383346,232119,2007-07-14,2
90,324390,232119,2009-04-01,5
91,17803,232119,2009-05-31,4
92,111899,232119,2010-07-27,5
93,469903,279997,2008-04-20,5
94,599450,279997,2008-04-24,5
95,498271,279997,2008-07-25,5
96,125640,279997,2008-07-26,5
97,446523,279997,2008-07-28,5
98,464080,279997,2008-08-20,5
99,166642,279997,2008-11-02,5
100,96092,279997,2009-04-23,5
101,209747,279997,2009-05-13,5
102,464926,279997,2009-12-16,5
103,43083,279997,2010-02-01,4
104,724631,279997,2012-08-19,5
105,178427,279997,2012-08-22,5
106,17803,279997,2012-08-24,5
107,57500,44087,2005-03-01,5
108,57222,44087,2005-12-27,5
109,93006,44087,2006-01-14,5
110,186979,44087,2007-04-07,5
111,422893,44087,2007-11-27,5
112,60260,44087,2009-02-06,5
113,158086,44087,2010-12-27,5
114,2297649,528393,2016-10-02,0
115,25017,56127,2003-03-15,5
116,72671,56127,2003-03-31,4
117,74516,56127,2004-03-23,5
118,124249,56127,2005-09-29,5
119,253974,280036,2008-03-05,5
120,113941,280036,2008-03-11,5
121,394085,280036,2008-11-09,5
122,174096,280036,2010-01-12,5
123,166642,280036,2010-01-13,5
124,227978,360468,2014-04-14,4
125,28346,69309,2003-08-25,5
126,28636,69309,2006-04-02,5
127,121185,69309,2009-03-11,5
128,382071,203707,2007-06-05,5
129,351811,203707,2007-08-10,5
130,324390,203707,2007-08-30,5
131,431813,203707,2007-09-02,5
132,8688,203707,2007-09-12,5
133,2001568814,203707,2017-06-04,5
134,962690,346308,2009-01-20,5
135,447717,7859,2007-06-27,3
136,383346,7859,2010-12-27,3
137,208755,8816,2007-12-08,5
138,2312,8442,2005-01-24,5
139,345591,8442,2006-08-25,4
140,58104,8816,2004-04-27,5
141,37713,8816,2004-07-31,5
142,209747,8816,2007-03-23,5
143,68884,8816,2007-07-19,5
144,422893,213066,2008-08-26,4
145,1072593,295570,2015-01-25,5
146,187373,213066,2009-05-09,4
147,592661,188628,2007-09-24,5
148,464080,316544,2008-09-22,5
149,869184,316544,2009-09-15,5
150,79877,316544,2013-09-15,5
151,422893,177548,2008-11-10,5
152,10216,8867,2001-11-23,5
153,135470,485796,2012-08-26,4
154,125388,235003,2007-09-23,5
155,222564,235003,2011-09-21,5
156,296027,277040,2008-01-23,5
157,60992,277040,2008-05-04,4
158,131674,277040,2008-06-06,4
159,130663,277040,2008-10-23,5
160,74187,40131,2003-06-20,5
161,74851,40131,2003-06-23,5
162,52427,40131,2003-09-17,5
