,item,ingredient
0,45859,limeade
1,45859,lime juice
2,45859,tequila
3,45859,triple sec
4,45859,lime wedge
5,45859,grand marnier
6,175306,grenadine
7,175306,orgeat syrup
8,175306,white rum
9,175306,orange curacao
10,175306,orange juice
11,175306,prepared sweet-and-sour mix
12,175306,pineapple juice
13,175306,bacardi dark rum
14,175306,meyer's dark rum
15,423875,ouzo
16,423875,orange juice
17,423875,ice cube
18,423875,orange slice
19,251021,dry white wine
20,251021,lemon-flavored vodka
21,251021,peach schnapps
22,251021,peach puree
23,251021,apple
24,251021,lime
25,251021,lemon
26,251021,peach
27,251021,lemon juice
28,251021,lime juice
29,251021,lemonade
30,429524,dry vermouth
31,429524,vodka
32,429524,gin
33,429524,lillet blanc
34,124853,apple juice
35,124853,raw honey
36,124853,whole cloves
37,124853,everclear alcohol
38,124853,ground cinnamon
39,124853,cheesecloth
40,285606,southern comfort
41,285606,triple sec
42,285606,lime juice
43,285606,ice cubes
44,136231,light rum
45,136231,tequila
46,136231,grand marnier
47,136231,grenadine
48,136231,tea bag
49,136231,powdered sugar
50,136231,maraschino cherries
51,136231,cracked ice
52,335495,beer
53,335495,carbonated lemon-lime beverage
54,335495,ice
55,335495,lemon twist
56,201813,angostura bitters
57,201813,vodka
58,201813,ginger beer
59,280251,bourbon
60,280251,grand marnier
61,280251,vodka
62,280251,pineapple juice
63,242761,white creme de cacao
64,242761,vodka
65,242761,ice
66,261888,amaretto
67,261888,vanilla vodka
68,79736,cranberry juice cocktail
69,79736,unsweetened pineapple juice
70,79736,orange juice
71,79736,lemon juice
72,79736,almond extract
73,79736,ginger ale
74,79736,dark rum
75,79736,maraschino cherries
76,79736,rum
77,79736,orange
78,79736,cinnamon stick
79,100837,pineapple juice
80,100837,grenadine
81,100837,brut champagne
82,249911,carbonated lemon-lime beverage
83,249911,orange juice
84,249911,orange-infused vodka
85,235003,vodka
86,235003,fresh jalapeno
87,235003,beer
88,235003,ice
89,224908,vanilla bean
90,224908,cold water
91,224908,strong coffee
92,224908,vodka
93,224908,brown sugar
94,224908,sugar
95,224908,dark molasses
